time,open,high,low,close,SKEW �� CBOE: c,S5TW �� INDEX: c,PC �� USI: c,VIX �� TVC: c,Volume,Advance Decline Line
12/03/2010,115.95,115.97,115.14,115.46001,118.96,90,0.751,17.57999,162074752,317.3508894
15/03/2010,115.25999,115.575,114.60001,115.49001,120.63,86.8,0.794,18,146816816,315.3735401
16/03/2010,115.81,116.52,115.49001,116.41,123.51,91.8,0.68,17.68999,168673008,318.8943677
17/03/2010,116.75999,117.48,116.4198,117.10001,119.66,92.8,0.706,16.90999,177468064,322.3665687
18/03/2010,117.11,117.27,116.57001,117.03751,120.27,91.2,0.416,16.62,196509056,320.2156938
19/03/2010,116.96001,117.293,115.52,115.97,121.97,85.4,0.915,16.96999,226641120,316.5177621
22/03/2010,115.31,116.8,115.24001,116.5925,123.63,88.4,0.791,16.87,184477680,319.4065565
23/03/2010,116.75999,117.50999,116.38,117.41,121.18,90.4,0.761,16.34999,182941568,323.2357759
24/03/2010,116.97,117.42641,115.58,116.84,122.67,81.6,0.8,17.54999,196183312,320.1075632
25/03/2010,117.63,118.1666,116.50999,116.64999,122.14,75,0.799,18.39999,223396256,317.627051
26/03/2010,116.87,117.42,116.12,116.582,123.14,72.8,0.654,17.76999,205808496,318.1440875
29/03/2010,117.16991,117.53,116.6886,117.32001,123.2,77.2,0.563,17.59,134513504,321.6593603
30/03/2010,117.46001,117.83,116.91,117.39999,124.03,77.4,0.834,17.12999,145772368,322.4144599
31/03/2010,116.95,117.52,116.61,117,123.7,69.6,0.732,17.59,161078688,319.9366009
01/04/2010,117.8,118.25,117.10001,117.8,123.93,76.2,0.611,17.46999,161215184,323.7396468
05/04/2010,118.25,118.84,117.92,118.75999,123.78,85.8,0.762,17.01999,105847632,327.9793766
06/04/2010,118.42,119.25,118.28999,119.03999,123.29,83.8,0.503,16.23,110384128,330.0214865
07/04/2010,118.8,119.3567,117.81,118.36,123.27,76.4,0.846,16.62,184576320,327.1427491
08/04/2010,117.95,118.97,117.60001,118.77251,122.67,73,0.75,16.48,158704000,328.2518028
09/04/2010,119.02,119.60001,118.8,119.55,124.36,81.2,0.778,16.14,133006496,331.5898946
12/04/2010,119.7,120.05,119.56,119.74001,123.16,79.8,0.526,15.58,110278944,333.367218
13/04/2010,119.62,120.03999,119,119.83,125.54,79.4,0.771,16.2,125125056,332.5042691
14/04/2010,120.27,121.19,120.08,121.19,125.77,85,0.479,15.59,161609008,336.4601427
15/04/2010,120.99001,121.5654,120.95,121.28999,126.29,81.8,0.666,15.89,144615248,335.4508402
16/04/2010,120.86,121.285,118.75,119.36,131.33,67,0.885,18.35999,366879744,330.7358885
